#{"t_start": 1754808863.7766008, "env_id": "None"}
r,l,t
15.922816,53,223.829397
44.417076,175,224.033546
50.78926,183,224.205833
17.800238,53,224.271277
19.423462,58,224.323839
20.825232,86,224.391488
35.82229,134,224.549678
94.96106,287,224.776993
51.555466,174,224.915308
28.334133,110,224.993849
31.153685,128,225.103918
35.152443,117,225.200019
18.522486,60,225.247228
86.77557,299,225.481892
28.655966,106,225.564177
39.66705,121,226.767761
22.490946,93,226.851324
31.099613,122,226.959252
24.968962,86,227.041415
19.536076,73,227.106428
31.947163,90,227.178887
24.569136,92,227.258786
64.12365,299,227.525071
29.494596,109,227.62751
27.11807,79,227.689885
27.222458,76,227.750895
25.363594,125,227.854724
25.123983,81,227.924515
81.173615,299,228.171831
54.66501,225,228.365024
16.864716,51,228.405892
41.014107,186,229.575439
27.008303,91,229.65655
27.335331,92,229.728459
33.98948,137,229.831814
29.097641,112,229.926011
24.782238,94,230.002037
50.395023,298,230.286155
31.787006,156,230.424508
22.612871,61,230.466194
11.441794,39,230.501823
22.576515,78,230.582456
62.04705,299,230.865419
48.357685,222,231.042702
63.483532,250,232.363355
46.31419,266,232.648878
47.83472,186,232.823406
52.904076,299,233.104456
23.397467,93,233.183483
75.25683,299,233.442089
82.32235,299,233.69414
83.46916,291,233.960231
16.79357,52,234.004017
39.771442,236,234.195719
51.109978,253,235.497901
66.14223,299,235.751216
56.741734,299,236.028463
71.86482,299,236.277296
91.30572,299,236.530803
54.55993,195,236.707408
57.39325,299,236.966809
98.29718,299,238.263185
66.10832,285,238.503688
89.05933,299,238.79259
112.0307,299,239.081284
88.913,299,239.376135
85.02829,299,239.645537
77.683556,299,239.899102
124.36881,299,241.283101
120.666664,299,241.57295
103.96044,299,241.875314
115.076706,299,242.113603
106.2328,299,242.363279
114.01017,299,242.684342
127.71822,299,242.969233
138.91307,299,244.313999
122.86072,299,244.577473
94.61496,299,244.822077
111.330894,299,245.117353
107.133514,299,245.398386
145.69444,299,245.66057
140.18924,299,246.965343
124.593414,299,247.231857
107.669846,299,269.856415
113.86409,299,270.093214
112.91142,299,270.355388
89.11604,299,270.641264
97.359344,299,270.886761
113.04579,299,271.138361
136.33122,299,272.419201
133.88437,299,272.693648
129.7778,299,272.973479
91.05323,299,273.245827
115.09336,299,275.000601
116.21095,299,275.269609
139.94868,299,275.540478
120.129684,299,276.766471
129.89607,299,277.004724
146.33772,299,277.261426
158.13725,299,277.522914
145.79803,299,277.812118
130.95389,299,278.084453
133.24423,299,278.343001
148.63837,299,279.667024
126.17205,299,279.926121
132.05753,299,280.191622
153.4183,299,280.455488
103.74892,299,280.734974
150.19196,299,280.99296
162.9162,299,281.254247
144.0054,299,282.619829
144.78993,299,282.931979
138.84196,299,283.227997
120.03597,299,283.510129
136.03075,299,283.838567
152.71298,299,284.169132
146.54944,299,284.447085
131.33508,299,285.893146
129.22237,299,286.190512
138.02646,299,286.495363
153.90805,299,286.79183
143.4894,299,287.100626
137.2446,299,287.402076
187.84811,299,287.699689
126.76474,299,289.033312
142.58575,299,289.344311
141.46169,299,289.661077
181.06107,299,289.980623
175.10931,299,290.300779
158.92436,299,290.705641
176.64372,299,292.267983
151.99644,299,292.663478
147.56815,299,292.937543
166.82903,299,293.238031
159.45157,299,293.526015
157.54053,299,293.797736
160.03612,299,294.085186
160.48006,299,295.495301
174.62154,299,295.789415
148.06609,299,296.066721
166.77281,299,296.38531
160.64644,299,296.699557
168.21143,299,297.011683
153.22534,299,297.311962
166.78966,299,298.696432
185.27492,299,299.059333
161.8532,299,299.373516
199.28584,299,299.681265
165.16013,299,299.987299
174.85803,299,300.287799
166.87827,299,300.61102
184.34125,299,301.95678
170.41397,299,302.255715
197.5097,299,302.539433
199.779,299,302.830018
155.05853,299,303.142839
177.47102,299,303.503585
193.1469,299,303.822549
178.93976,299,305.52868
188.70259,299,305.79007
186.72069,299,307.481794
168.45627,299,307.767706
194.09497,299,308.051899
193.63068,299,308.333463
208.42923,299,308.620862
198.10643,299,310.050112
206.1017,299,310.382349
174.78328,299,310.732499
194.19244,299,311.106628
203.78917,299,311.474277
186.74211,299,311.888614
200.95581,299,312.262276
193.99405,299,313.679615
216.02307,299,313.980562
191.50287,299,314.324168
220.70137,299,314.649608
204.39339,299,314.930409
211.16042,299,315.256107
204.62288,299,316.782002
204.9176,299,317.068348
212.45625,299,317.333664
188.27907,299,317.620496
208.58052,299,317.999151
225.98592,299,318.317079
216.67409,299,318.625255
203.59894,299,320.04969
205.61717,299,320.367899
217.88754,299,320.685926
191.44429,299,321.016695
222.26523,299,321.309157
192.83597,299,321.591475
202.03275,299,321.903696
203.47115,299,323.37008
218.4536,299,323.722626
214.43002,299,324.067074
212.68053,299,324.366032
221.83601,299,324.679002
219.49582,299,324.964126
140.28624,299,325.272335
211.68831,299,326.688792
221.24571,299,326.987035
216.99059,299,327.272198
217.39246,299,327.559313
211.25255,299,327.888712
176.65651,299,328.164069
225.9361,299,328.454829
218.47646,299,329.976157
221.49545,299,330.274146
225.5158,299,330.557233
242.83804,299,330.840495
226.37958,299,331.118835
218.99457,299,331.453214
232.09152,299,331.74232
227.0899,299,333.09589
196.77766,299,333.394611
227.0628,299,333.724821
226.7409,299,334.055492
222.38623,299,334.358353
236.3343,299,334.656277
230.05206,299,336.094814
116.83037,299,336.394342
232.6359,299,336.690417
221.37022,299,336.989416
224.23824,299,337.280027
115.32799,299,337.570182
244.51883,299,337.928989
234.49152,299,339.328136
230.70314,299,340.998036
227.93425,299,341.300239
219.28828,299,341.576504
216.00296,299,341.923043
188.46243,299,342.22342
227.20316,299,342.513686
235.33322,299,344.172346
228.69188,299,344.489696
227.6738,299,344.807067
235.08511,299,345.092043
237.51047,299,345.45452
227.2599,299,345.784981
224.0708,299,346.089298
231.01112,299,347.590418
231.1064,299,347.879914
216.56067,299,348.197198
229.18727,299,348.496071
224.7297,299,348.796812
235.1104,299,349.096492
239.7678,299,349.420115
233.32458,299,350.846853
243.45764,299,351.147413
227.84308,299,351.436476
225.5348,299,351.756094
235.39359,299,352.058498
237.93022,299,352.34608
228.75598,299,352.647787
232.8099,299,354.160658
225.73102,299,354.456982
236.51288,299,354.767069
232.67824,299,355.074779
237.01862,299,355.374071
241.16351,299,355.688256
249.14806,299,356.004637
245.93703,299,357.601902
238.21555,299,357.908713
249.02164,299,358.240424
234.50133,299,358.538707
241.96364,299,358.894073
237.53609,299,359.25805
233.12735,299,360.687854
242.87183,299,361.006009
251.05247,299,361.319661
235.03584,299,361.619484
240.69666,299,361.922363
239.25006,299,362.244721
234.9538,299,362.538616
242.5773,299,364.005272
256.19202,299,364.372921
243.71419,299,364.689809
237.72777,299,364.995175
194.5461,299,365.270141
247.07745,299,365.57274
252.91153,299,365.890728
248.65016,299,367.283123
237.25827,299,367.616474
250.50165,299,367.898769
248.6411,299,368.225075
239.36153,299,368.509532
247.00456,299,368.8414
242.39958,299,369.184777
246.89702,299,370.791009
256.47632,299,371.07559
236.61082,299,371.434159
251.72289,299,371.763238
249.18887,299,372.074418
250.44582,299,373.877642
251.93385,299,374.190665
233.10626,299,375.810615
248.29137,299,376.139628
248.35654,299,376.446673
251.48688,299,376.724458
263.4954,299,377.02157
258.60095,299,377.350475
241.78288,299,377.660622
258.34494,299,379.142531
256.80685,299,379.455444
252.76375,299,379.754813
248.25092,299,380.074284
247.0502,299,380.365361
254.69254,299,380.682082
253.93573,299,380.954777
261.13004,299,382.429532
250.08784,299,382.746249
250.17026,299,383.065764
260.94632,299,383.376976
253.17526,299,383.667511
259.86743,299,384.01155
124.514046,299,385.668159
254.96045,299,385.970187
251.05957,299,386.285746
260.05136,299,386.609344
170.37006,299,386.911956
259.1699,299,387.198228
249.80542,299,387.475801
254.71541,299,388.958144
244.94766,299,389.259464
253.21857,299,389.558747
251.01448,299,389.823052
258.75128,299,390.120721
258.39105,299,390.431962
254.91296,299,390.735814
248.12308,299,392.07579
261.46887,299,392.369338
246.21184,299,392.676325
259.89215,299,392.997547
251.92198,299,393.341776
255.56075,299,393.646282
252.9597,299,393.942425
253.09631,299,395.493305
263.0982,299,395.781689
254.96498,299,396.051972
249.24223,299,396.339453
256.92154,299,396.611612
257.87485,299,396.924396
262.84793,299,397.218724
253.55716,299,398.647152
267.3146,299,398.956121
259.12183,299,399.252081
248.28096,299,399.543956
258.69144,299,399.831126
256.4393,299,400.11599
258.90463,299,400.405528
261.0442,299,401.966493
263.0698,299,402.285495
257.7467,299,402.570878
259.3991,299,402.91556
252.93398,299,403.242924
258.88718,299,403.576309
255.87009,299,405.008456
255.9447,299,405.320166
261.97388,299,405.602162
264.65576,299,405.888113
262.85873,299,407.511393
260.0611,299,407.825343
256.01584,299,408.123998
259.19992,299,409.547495
259.30487,299,409.853465
