time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss,train/clip_range_vf,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
4096,973,4,1,120.84848484848484,34.195068359375,,,,,,,,,,,,,,
8192,906,9,2,118.29411764705883,33.566650390625,-4.253330180048943,0.005435905,0.0019513903622282668,5,0.12203583121299744,0.4369064562022686,0.2,0.00019938560000000002,0.997200071811676,-0.24040663242340088,0.26455078125,0.1,,
12288,854,14,3,128.94736842105263,36.25059127807617,-4.247292697429657,0.004080715,0.0006210407300386578,10,0.09501850605010986,0.21109622651711107,0.2,0.00019877120000000003,0.9964864253997803,0.337149441242218,0.218798828125,0.1,,
16384,851,19,4,144.33,39.41563415527344,-4.244973200559616,0.0052159205,-0.003269365994492546,15,0.07169662415981293,0.1567801488097757,0.2,0.0001981568,0.9962543845176697,0.7732780575752258,0.273828125,0.1,,
20000,,,,,,-4.2486488163471225,0.0056122234,-0.00267325195891317,20,0.07134449481964111,0.17641926598735153,0.2,0.00019754240000000001,0.9985001087188721,0.7533868551254272,0.28310546875,0.1,61.076438903808594,299.0
20480,797,25,5,166.83,46.346153259277344,,,,,,,,,,,,,,
24576,782,31,6,190.13,55.672645568847656,-4.2515255272388455,0.005044084,0.0020465480542043225,25,0.09137190878391266,0.2174221208319068,0.2,0.000196928,0.9983908534049988,0.8192700743675232,0.255615234375,0.1,,
28672,779,36,7,213.86,63.92440414428711,-4.24635651409626,0.005156865,-0.00032293247495545073,30,0.10797040909528732,0.27089139446616173,0.2,0.0001963136,0.9953901767730713,0.8225904107093811,0.2640625,0.1,,
32768,773,42,8,237.48,72.66374206542969,-4.239900541305542,0.0044477573,-0.0005432971811387688,35,0.0604943223297596,0.22957387850619854,0.2,0.0001956992,0.9932387471199036,0.9346648454666138,0.221484375,0.1,,
36864,776,47,9,258.05,80.98141479492188,-4.237436670064926,0.0041445955,0.00034378876734990625,40,0.07284638285636902,0.22550470028072594,0.2,0.0001950848,0.9948439598083496,0.8870919346809387,0.213671875,0.1,,
40000,,,,,,-4.241368672251701,0.00423901,-0.0002860771797713824,45,0.034872349351644516,0.15071727358736098,0.2,0.0001944704,0.9951367974281311,0.9211411476135254,0.22158203125,0.1,46.81361389160156,299.0
40960,759,53,10,273.71,88.33533477783203,,,,,,,,,,,,,,
45056,761,59,11,285.11,95.09600830078125,-4.241844123601913,0.0034218319,0.0016466528963064776,50,0.021077031269669533,0.10987144568935037,0.2,0.000193856,0.9951112866401672,0.9371230006217957,0.1904296875,0.1,,
49152,766,64,12,294.38,101.55660247802734,-4.240820670127869,0.004830094,0.0005701403322746045,55,0.029259560629725456,0.07839002875844017,0.2,0.00019324160000000002,0.9944987297058105,0.9506287574768066,0.245166015625,0.1,,
53248,762,69,13,297.3,105.77622985839844,-4.239428782463074,0.00395914,0.00031206986313918604,60,0.0037636905908584595,0.05787576584843919,0.2,0.00019262720000000002,0.9943625330924988,0.9663340449333191,0.215869140625,0.1,,
57344,761,75,14,298.84,109.73943328857422,-4.23739703297615,0.003688939,-0.0006475732152466662,65,-0.00511922687292099,0.04468158350791782,0.2,0.0001920128,0.9926722049713135,0.9738789200782776,0.1953125,0.1,,
60000,,,,,,-4.241631677746772,0.0039305203,-0.0011188011631020345,70,0.007255956530570984,0.04280934407142922,0.2,0.00019139840000000001,0.9966744780540466,0.9740133285522461,0.197021484375,0.1,58.16033935546875,299.0
61440,750,81,15,298.84,114.922607421875,,,,,,,,,,,,,,
65536,753,86,16,299.0,119.51841735839844,-4.2501747637987135,0.0037662983,-0.00019581043015932665,75,0.006060807034373283,0.028428824234288184,0.2,0.000190784,0.998678982257843,0.9874429702758789,0.212451171875,0.1,,
