#{"t_start": 1754198174.1513555, "env_id": "None"}
r,l,t
24.471357,98,5.141739
57.31448,190,5.24687
25.163471,74,5.281108
22.022364,86,5.322275
42.73358,156,5.397874
38.46027,126,5.457554
29.272459,109,5.516755
36.187153,158,5.606246
30.298738,107,5.661061
24.16324,93,5.706677
43.899063,160,5.787906
39.500217,162,5.866674
29.091373,152,5.937238
39.85914,100,5.982732
25.56495,88,6.024297
25.012371,109,6.075333
35.0585,119,6.906664
20.621117,50,6.931182
26.648962,79,6.970382
37.91794,198,7.074619
52.284016,162,7.170356
87.96435,253,7.301198
22.711407,58,7.334653
22.025106,64,7.365871
24.260231,103,7.413783
68.62428,200,7.508544
33.09037,132,7.579818
17.336508,69,7.622676
55.096584,185,7.718062
85.96962,299,7.869864
38.654087,169,8.87764
22.576279,65,8.916468
15.962408,48,8.943849
25.464825,74,8.986342
51.26575,198,9.09428
60.300022,299,9.23956
51.585922,177,9.335029
20.281956,64,9.364908
34.547295,135,9.431763
38.93517,153,9.509496
29.206495,82,9.545642
25.913805,92,9.589339
62.84815,264,9.732794
35.85595,121,9.791069
22.33361,72,9.827334
45.32607,179,9.917282
46.15257,149,10.847173
42.28084,184,10.958206
22.060808,74,11.00622
24.740026,72,11.049664
36.78135,132,11.149626
38.260403,157,11.235552
25.191633,81,11.296215
55.48323,192,11.403629
19.217474,65,11.444255
45.441166,197,11.549942
34.744213,107,11.602282
53.407417,230,11.726871
51.909763,188,11.819668
25.146751,70,11.856858
54.918472,243,12.892947
54.203384,195,12.995919
59.773327,215,13.113779
92.976555,281,13.26038
18.534096,52,13.28571
75.42798,277,13.426916
57.780003,268,13.61248
110.93011,299,13.802565
34.483692,125,13.875084
82.85066,256,15.065006
60.658688,251,16.059482
98.33172,299,16.21491
88.02982,299,16.361243
107.99832,299,16.51507
57.76953,194,16.61322
84.23311,299,16.763265
37.450302,172,16.847026
22.94269,104,16.898715
71.66912,249,17.886139
47.217495,170,17.990206
68.11983,299,18.150168
75.47072,299,18.323611
80.02595,299,18.473418
59.905052,212,18.572194
24.162392,73,18.611209
74.861176,299,18.759915
54.440323,178,18.849843
29.09242,79,18.902923
94.4448,299,20.018293
24.04645,76,20.062475
33.508118,140,20.136924
86.83104,288,20.288235
71.78138,299,20.445473
32.12632,107,20.505258
46.50585,168,20.589304
36.692062,147,20.667022
30.434254,122,20.730301
60.828087,215,20.840534
46.976482,200,20.939717
50.928535,159,21.967008
51.842857,152,22.054879
68.114494,288,22.208997
77.89043,290,22.358604
40.16788,143,22.43334
97.07818,299,22.587029
86.82536,299,22.740364
60.61664,239,22.858234
45.38726,194,23.880952
48.15395,187,23.982285
18.893866,55,24.013644
65.19535,231,24.150854
30.947128,130,24.239147
80.20125,299,24.405526
32.172176,114,24.467433
81.345924,299,24.622745
43.497818,117,24.687163
82.42451,198,25.425872
40.00755,170,25.519223
34.414757,153,25.600543
55.807545,254,26.516713
32.050457,103,26.565496
82.79809,283,26.708568
42.536808,146,26.778538
69.17622,299,26.925015
36.94149,155,27.004626
21.36014,71,27.043125
84.06831,284,27.196134
14.589498,45,27.222151
81.727806,299,27.379122
92.12952,299,28.514564
34.17587,93,28.566921
31.589962,138,28.631904
114.42144,299,28.777797
72.977066,299,28.919631
97.550575,299,29.068731
37.42236,122,29.132398
105.54354,299,29.284506
100.496605,299,29.431387
85.09055,299,30.428123
115.16612,299,30.583039
31.509804,127,30.643399
36.238358,149,30.731142
38.15031,166,30.821322
83.2702,279,30.96278
41.1095,159,31.038177
62.522602,252,31.162477
127.42441,299,31.30716
82.848404,299,32.528982
67.74718,247,32.664758
54.06965,181,32.756972
86.7461,299,32.921182
84.78737,299,33.076354
29.660967,126,33.14168
99.32169,299,33.296922
35.167255,138,33.377277
67.32853,271,33.510729
32.12673,145,34.523105
37.519413,164,34.607127
83.9155,299,34.754991
92.6418,299,34.909005
92.59751,299,35.060513
25.18598,93,35.105383
29.162313,90,36.621002
74.666855,287,36.770327
119.64742,299,36.923562
75.99583,299,37.899339
70.91285,213,38.020344
68.91574,240,38.147359
38.020466,153,38.22666
66.04635,288,38.365847
95.24141,299,38.510414
76.942604,299,38.673463
38.580173,139,38.762518
35.27652,163,38.871537
50.29647,204,39.907933
50.972397,170,40.019059
63.19676,225,40.131372
55.073597,227,40.261222
81.64412,246,40.395642
27.402195,97,40.453664
59.72857,244,40.586494
96.56288,299,40.759785
36.842678,131,40.834882
54.023827,209,40.942119
86.48354,299,42.018468
84.16065,297,42.166061
77.50182,280,42.305779
57.012276,201,42.409124
69.2306,246,42.551476
